순위	단어	품사	풀이	등급
4259	구석구석	명		3
853	구성07	명	構成	3
1397	구성되다	동	構成-	3
1684	구성하다	동	構成-	3
1351	구속02	명	拘束	3
3346	구속되다	동	拘束-	3
4770	구속하다01	동	拘束-	3
구십	수	九十	1
2037	구역04	명	區域	3
1076	구월02	명	九月	1
5182	구입03	명	購入	3
2229	구입하다03	동	購入-	3
350	구조08	명	構造	3
5583	구청02	명	區廳	3
769	구체적	명	具體的	2
1125	구하다01	동	求-	2
6187	구하다03	동	救-	2
3732	국01	명	음식	2
141	국가01	명	國家	2
8682	국가적	명	國家的	3
8014	국기07	명	國旗	2
447	국내02	명	國內	2
18114	국내선	명	國內線	3
5584	국내외	명	國內外	3
9934	국립	명	國立	2
3177	국물	명		2
235	국민	명	國民	2
15251	국민적	명	國民的	3
5723	국사03	명	國史	3
3792	국산	명	國産	3
6022	국수01	명		2
3108	국어01	명	國語	2
4116	국왕	명	國王	3
4868	국적02	명	國籍	3
878	국제02	명	國際	2
15255	국제선	명	國際線	3
6023	국제적	명	國際的	3
2647	국제화	명	國際化	3
1126	국회	명	國會	3
2545	국회의원	명	國會議員	2
1759	군04	의	君	2
659	군05	명	軍	2
5080	군06	명	郡	3
1531	군대03	명	軍隊	2
3519	군데	의		2
3219	군사01	명	軍士	3
1613	군사04	명	軍事	3
2434	군인	명	軍人	1
3259	굳다	형		3
3260	굳어지다	동		3
2435	굳이	부		2
5724	굳히다	동		3
1937	굵다	형		2
3261	굶다	동		3
1892	굽다01	동	익히다	2
2760	굽히다	동		3
2990	궁극적	명	窮極的	3
1849	궁금하다01	형		2
1672	권01	의	卷	1
1451	권리	명	權利	3
2153	권위	명	權威	3
6963	권투01	명	拳鬪	2
2330	권하다	동	勸-	2
840	귀01	명		1
7459	귀가03	명	歸家	3
7188	귀가하다01	동	歸家-	3
5725	귀국02	명	歸國	2
3307	귀국하다	동	歸國-	2
3220	귀신01	명	鬼神	3
2617	귀엽다	형		2
4772	귀중하다01	형	貴重-	3
3679	귀찮다	형		3
3221	귀하다	형	貴-	3
8685	귓속	명		3
